T1,Q1,AT1,I1,V1
298.15,3.05700000000002,0,0,-3.64857499681337
298.139136042358,3.05146481358125,0,15,-3.78000529683584
298.128327959036,3.04595809512861,0,15,-3.78042252800224
298.117576800738,3.04048037997626,0,15,-3.78083524530226
298.106883564567,3.03503217614698,0,15,-3.78124350314573
298.096249195639,3.02961396517784,0,15,-3.7816473552572
298.085674588663,3.02422620292361,0,15,-3.78204685468485
298.075160589479,3.01886932033935,0,15,-3.78244205380923
298.06470799655,3.01354372424211,0,15,-3.78283300435199
298.054317562419,3.00824979805262,0,15,-3.78321975738446
298.043989995126,3.00298790251694,0,15,-3.78360236333616
298.033725959587,2.99775837640945,0,15,-3.78398087200315
298.023526078934,2.99256153721663,0,15,-3.7843553325564
298.013390935825,2.98739768180289,0,15,-3.78472579354991
298.003321073716,2.9822670870584,0,15,-3.78509230292888
297.993316998095,2.97717001052956,0,15,-3.78545490803765
297.983379177689,2.97210669103265,0,15,-3.78581365562766
297.973508045635,2.96707734925096,0,15,-3.78616859186521
297.963704000619,2.96208218831552,0,15,-3.78651976233921
297.953967407989,2.95712139437057,0,15,-3.78686721206876
297.944298600831,2.95219513712348,0,15,-3.7872109855107
297.93469788102,2.94730357037972,0,15,-3.78755112656702
297.925165520242,2.94244683256329,0,15,-3.78788767859215
297.915701760988,2.93762504722321,0,15,-3.78822068440026
297.906306817519,2.93283832352583,0,15,-3.78855018627237
297.896980876808,2.9280867567339,0,15,-3.78887622596339
297.887724099456,2.92337042867265,0,15,-3.78919884470907
297.878536620574,2.91868940818256,0,15,-3.78951808323289
297.869418550658,2.91404375156029,0,15,-3.78983398175284
297.860369976422,2.9094335029871,0,15,-3.79014657998804
297.85139096162,2.90485869494546,0,15,-3.79045591716542
297.842481547839,2.90031934862421,0,15,-3.79076203202618
297.833641755275,2.89581547431254,0,15,-3.7910649628322
297.82487158348,2.89134707178286,0,15,-3.79136474737241
297.816171012096,2.88691413066303,0,15,-3.79166142296902
297.807540001567,2.88251663079856,0,15,-3.79195502648369
297.798978493825,2.87815454260405,0,15,-3.79224559432357
297.790486412964,2.87382782740525,0,15,-3.79253316244738
297.782063665891,2.86953643777147,0,15,-3.79281776637124
297.773710142961,2.86528031783845,0,15,-3.79309944117456
297.765425718591,2.86105940362228,0,15,-3.79337822150577
297.757210251863,2.8568736233243,0,15,-3.79365414158799
297.7490635871,2.85272289762756,0,15,-3.79392723522465
297.740985554435,2.84860713998469,0,15,-3.794197535805
297.732975970358,2.84452625689761,0,15,-3.79446507630953
297.725034638252,2.84048014818936,0,15,-3.79472988931537
297.717161348907,2.83646870726793,0,15,-3.79499200700158
297.709355881026,2.8324918213828,0,15,-3.79525146115434
297.701618001715,2.82854937187392,0,15,-3.79550828317213
297.693947466955,2.82464123441355,0,15,-3.79576250407078
297.686344022063,2.82076727924112,0,15,-3.7960141544885
297.678807402142,2.81692737139127,0,15,-3.7962632646908
